,mse,psnr,ssim,method,img_id
0,2512.399612426758,14.129916431319478,0.8659507410690592,our,1.0
1,2502.71511332194,14.14668944641165,0.779919096061325,ucmr,1.0
2,1243.7142384847004,17.183597545529587,0.9150134970700425,our,6.0
3,1666.4789632161458,15.912805251496751,0.8516720323450304,ucmr,6.0
4,1292.0074005126953,17.018153595984565,0.8810083134517415,our,21.0
5,1702.1561737060547,15.820809565487444,0.8008877839871812,ucmr,21.0
6,1811.8072865804036,15.549683589320002,0.80757743186815,our,22.0
7,4453.7095133463545,11.643584734650974,0.6726554582418771,ucmr,22.0
8,932.2194773356119,18.43562188241082,0.9128203877761822,our,27.0
9,2407.4889068603516,14.315160661930143,0.8126829463695536,ucmr,27.0
10,1769.036626180013,15.653435362209308,0.8636135599099014,our,31.0
11,2119.540044148763,14.86838734826347,0.7525498222974362,ucmr,31.0
12,1086.2615152994792,17.77145967494489,0.9118142315331988,our,34.0
13,1640.5391235351562,15.98093768978622,0.8285901858205315,ucmr,34.0
14,1268.5216522216797,17.097824763340924,0.8829430224511491,our,38.0
15,1763.0440165201824,15.668172057477165,0.777245056940786,ucmr,38.0
16,1992.6758575439453,15.1364370177052,0.8520965840385405,our,42.0
17,2556.531753540039,14.054291695939025,0.6954894404426075,ucmr,42.0
18,1059.3293558756511,17.880493533560795,0.9088712216354122,our,44.0
19,1497.9668833414714,16.375781486667044,0.8493573410861851,ucmr,44.0
20,1210.6752166748047,17.30052708661232,0.882627724513133,our,48.0
21,1989.0077158610027,15.144438930027222,0.7907910213447771,ucmr,48.0
22,978.6572113037109,18.224497602888327,0.9022824342287072,our,52.0
23,1290.614969889323,17.02283662670318,0.8160416772720365,ucmr,52.0
24,3196.6007029215493,13.083919702478026,0.7886452577612472,our,54.0
25,4341.699396769206,11.75420609654549,0.5926398089878098,ucmr,54.0
26,2147.9775187174478,14.810506292538243,0.8808363904762954,our,56.0
27,2274.2941233317056,14.56233731703592,0.7722455608628463,ucmr,56.0
28,483.1659189860026,21.289840679500326,0.9419184564666492,our,58.0
29,750.9430491129557,19.374733591418263,0.8901022335740597,ucmr,58.0
30,2116.5772806803384,14.874462307650386,0.862257972851293,our,59.0
31,2733.0320943196616,13.764356291737535,0.7666631508134621,ucmr,59.0
32,2236.020523071289,14.636045755105423,0.8385734022099282,our,78.0
33,2301.0224100748696,14.511595125058896,0.7327163010580375,ucmr,78.0
