,mse,psnr,ssim,method,img_id
0,2512.399612426758,14.129916431319478,0.8659507410690592,our,1.0
1,2502.71511332194,14.14668944641165,0.779919096061325,ucmr,1.0
2,2789.6001892089844,13.675383970432886,0.8479012875675599,our,3.0
3,3102.46066792806,13.213740765182818,0.7639410555367995,ucmr,3.0
4,1243.7142384847004,17.183597545529587,0.9150134970700425,our,6.0
5,1666.4789632161458,15.912805251496751,0.8516720323450304,ucmr,6.0
6,1292.0074005126953,17.018153595984565,0.8810083134517415,our,21.0
7,1702.1561737060547,15.820809565487444,0.8008877839871812,ucmr,21.0
8,6275.215362548828,10.154517256691644,0.7534690263364833,our,24.0
9,6521.909795125325,9.987055731060723,0.64551799301884,ucmr,24.0
10,1988.8861185709636,15.144704442553662,0.8508167157506848,our,30.0
11,2007.297836303711,15.10468544401067,0.822955629795612,ucmr,30.0
12,1769.036626180013,15.653435362209308,0.8636135599099014,our,31.0
13,2119.540044148763,14.86838734826347,0.7525498222974362,ucmr,31.0
14,2877.449274698893,13.540726844870328,0.8366891801996575,our,32.0
15,2563.941660563151,14.041722217620624,0.8119639133408043,ucmr,32.0
16,8093.347152709961,9.049521916266235,0.6803649485815284,our,35.0
17,9459.333114624023,8.372198412576518,0.5090896582347635,ucmr,35.0
18,1766.5631154378254,15.659512024275283,0.8461747911519127,our,36.0
19,2353.480951944987,14.41369673202416,0.7327232754056928,ucmr,36.0
20,1352.3272654215496,16.81998556564427,0.9008614874957809,our,39.0
21,1670.7800038655598,15.901610919422994,0.8319647021213471,ucmr,39.0
22,3563.4549814860025,12.612090843115372,0.8204925342244764,our,40.0
23,3194.3008473714194,13.087045441811833,0.7722645433469495,ucmr,40.0
24,1992.6758575439453,15.1364370177052,0.8520965840385405,our,42.0
25,2556.531753540039,14.054291695939025,0.6954894404426075,ucmr,42.0
26,4362.013173421224,11.733933880398308,0.7763356846212744,our,43.0
27,4084.5563303629556,12.019354710495438,0.6899085451270005,ucmr,43.0
28,1059.3293558756511,17.880493533560795,0.9088712216354122,our,44.0
29,1497.9668833414714,16.375781486667044,0.8493573410861851,ucmr,44.0
30,1576.8942057291667,16.152778034992266,0.8571198376558319,our,46.0
31,2269.277348836263,14.571927826964401,0.7454344143621098,ucmr,46.0
32,1210.6752166748047,17.30052708661232,0.882627724513133,our,48.0
33,1989.0077158610027,15.144438930027222,0.7907910213447771,ucmr,48.0
